Int_no,Intersection,idDemande,Date,Heure,ND,NTD,NG,ED,ETD,EG,SD,STD,SG,OD,OTD,OG,Piet_N,Piet_E,Piet_S,Piet_O,Cy_N,Cy_E,Cy_S,Cy_O,Lat,Lon,Temps
vancouver/020640,BLANCA AND 04TH,020640,Friday September 20 1996,07:00-09:00,12,109,26,21,1275,214,152,69,154,87,276,4,7,8,16,10,3,19,3,2,49.2691038375266,-123.215024220423,CLOUDY 
vancouver/020640,BLANCA AND 04TH,020640,Friday September 20 1996,07:45-08:45,9,76,16,11,865,122,97,49,117,55,189,1,6,8,11,7,2,13,1,1,49.2691038375266,-123.215024220423,CLOUDY 
vancouver/020640,BLANCA AND 04TH,020640,Friday September 20 1996,15:30-17:30,5,88,23,34,490,170,248,135,92,198,1289,14,4,16,15,10,1,4,8,20,49.2691038375266,-123.215024220423,CLOUDY 
vancouver/020640,BLANCA AND 04TH,020640,Friday September 20 1996,16:00-17:00,3,45,11,17,240,84,121,65,45,111,655,7,0,5,0,2,1,2,2,6,49.2691038375266,-123.215024220423,CLOUDY 
vancouver/020640,BLANCA AND 04TH,020640,Monday October 05 1998,07:00-09:00,23,75,37,18,1460,270,180,72,293,90,311,6,5,17,2,15,2,14,5,3,49.2691038375266,-123.215024220423,RAIN 
vancouver/020640,BLANCA AND 04TH,020640,Monday October 05 1998,07:35-08:35,16,46,21,12,950,145,114,50,212,61,209,5,4,12,1,7,2,9,1,2,49.2691038375266,-123.215024220423,RAIN 
vancouver/020640,BLANCA AND 04TH,020640,Monday October 05 1998,15:30-17:30,9,76,17,34,433,172,262,112,105,186,1308,14,1,13,5,6,1,3,4,10,49.2691038375266,-123.215024220423,RAIN 
vancouver/020640,BLANCA AND 04TH,020640,Monday October 05 1998,15:35-16:35,1,33,11,17,268,73,120,60,59,93,677,7,1,8,4,2,0,1,2,6,49.2691038375266,-123.215024220423,RAIN 
vancouver/020640,BLANCA AND 04TH,020640,Monday October 22 2001,15:30-17:30,4,81,24,22,407,172,237,121,96,157,1228,7,3,5,2,,,,6,4,49.2691038375266,-123.215024220423,RAIN 
vancouver/020640,BLANCA AND 04TH,020640,Monday October 22 2001,15:35-16:35,2,42,9,11,228,75,135,53,47,82,650,3,1,4,1,,,,2,1,49.2691038375266,-123.215024220423,RAIN 
vancouver/020640,BLANCA AND 04TH,020640,Tuesday January 21 2003,07:00-09:00,4,78,34,41,1278,294,152,56,158,71,283,3,9,12,2,6,4,6,,,49.2691038375266,-123.215024220423,CLOUDY 
vancouver/020640,BLANCA AND 04TH,020640,Tuesday January 21 2003,07:55-08:55,2,46,20,18,706,166,83,35,114,44,170,1,8,8,1,4,1,4,,,49.2691038375266,-123.215024220423,CLOUDY 
vancouver/020640,BLANCA AND 04TH,020640,Tuesday January 21 2003,15:30-17:30,12,100,37,25,442,206,307,123,114,150,1262,6,,6,11,11,1,2,9,8,49.2691038375266,-123.215024220423,CLOUDY 
vancouver/020640,BLANCA AND 04TH,020640,Tuesday January 21 2003,16:25-17:25,3,36,17,10,217,122,153,59,62,79,640,4,,3,5,5,0,0,4,2,49.2691038375266,-123.215024220423,CLOUDY 
vancouver/020640,BLANCA AND 04TH,020640,Wednesday November 29 2000,07:00-09:00,6,84,45,36,1182,243,179,68,175,82,296,4,3,8,6,5,4,5,2,3,49.2691038375266,-123.215024220423,rain 
vancouver/020640,BLANCA AND 04TH,020640,Wednesday November 29 2000,07:55-08:55,3,51,35,26,784,171,106,43,126,68,199,1,1,5,5,1,3,4,1,3,49.2691038375266,-123.215024220423,rain 
vancouver/020640,BLANCA AND 04TH,020640,Wednesday November 29 2000,15:30-17:30,4,71,33,25,421,179,274,100,106,175,1349,6,1,20,4,4,,2,1,1,49.2691038375266,-123.215024220423,rain 
vancouver/020640,BLANCA AND 04TH,020640,Wednesday November 29 2000,15:35-16:35,3,36,17,14,227,75,125,55,57,89,677,1,1,11,2,1,,1,1,0,49.2691038375266,-123.215024220423,rain 
vancouver/020640,BLANCA AND 4TH,020640,Thursday January 25 2007,07:00-09:00,16,25,9,32,1042,248,113,94,47,28,189,1,9,4,3,26,,9,,,49.2691038375266,-123.215024220423,CLEAR 
vancouver/020640,BLANCA AND 4TH,020640,Thursday January 25 2007,07:40-08:40,14,15,4,16,640,143,58,46,29,19,109,1,5,2,2,14,,6,,,49.2691038375266,-123.215024220423,CLEAR 
vancouver/020640,BLANCA AND 4TH,020640,Thursday January 25 2007,15:30-17:30,5,86,38,27,436,204,311,103,99,183,1141,11,11,14,13,10,,2,10,9,49.2691038375266,-123.215024220423,CLEAR 
vancouver/020640,BLANCA AND 4TH,020640,Thursday January 25 2007,16:00-17:00,3,44,17,20,245,105,158,62,57,84,620,6,6,8,9,6,,0,5,4,49.2691038375266,-123.215024220423,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Thursday January 16 2003,07:00-09:00,130,291,71,101,925,191,77,224,122,79,396,87,16,21,38,21,56,40,45,6,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Thursday January 16 2003,07:55-08:55,85,187,46,57,504,119,44,158,71,59,259,57,5,14,23,13,35,19,24,3,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Thursday January 16 2003,15:30-17:30,98,228,111,94,683,155,144,307,84,139,1284,243,35,43,47,34,7,14,24,125,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Thursday January 16 2003,16:05-17:05,46,128,59,53,330,75,70,154,41,73,674,120,29,25,22,22,2,6,14,59,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Thursday March 29 2007,07:00-09:00,199,366,45,66,689,126,35,179,31,31,256,53,24,10,15,21,76,14,12,14,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Thursday March 29 2007,07:45-08:45,128,232,23,30,380,69,19,119,17,18,154,28,14,7,13,9,45,10,7,8,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Thursday March 29 2007,15:30-17:30,137,421,141,64,660,84,78,332,103,225,918,153,40,16,4,8,15,10,,48,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Thursday March 29 2007,16:00-17:00,70,231,70,35,335,48,38,155,60,125,481,65,21,12,3,5,5,5,,26,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Thursday November 30 2000,07:00-09:00,195,308,79,85,833,128,76,226,90,73,370,75,16,17,18,19,74,35,48,7,49.2639242035281,-123.215211467428,rain 
vancouver/020670,BLANCA AND 10TH,020670,Thursday November 30 2000,07:55-08:55,128,203,49,51,522,84,40,153,52,53,253,50,12,10,11,11,55,27,24,4,49.2639242035281,-123.215211467428,rain 
vancouver/020670,BLANCA AND 10TH,020670,Thursday November 30 2000,15:30-17:30,117,252,111,102,616,117,134,312,106,127,1184,178,33,18,31,22,4,8,23,99,49.2639242035281,-123.215211467428,rain 
vancouver/020670,BLANCA AND 10TH,020670,Thursday November 30 2000,16:25-17:25,63,136,52,49,303,63,69,151,61,70,609,97,18,9,16,11,3,3,9,61,49.2639242035281,-123.215211467428,rain 
vancouver/020670,BLANCA AND 10TH,020670,Thursday October 08 1998,07:00-09:00,218,293,72,100,1062,129,70,235,139,75,462,92,38,17,15,22,99,51,55,9,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Thursday October 08 1998,07:55-08:55,145,171,55,65,645,89,42,152,96,53,309,62,28,11,7,8,66,32,40,4,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Thursday October 08 1998,15:30-17:30,130,301,156,97,620,137,165,333,70,135,1269,192,63,40,18,37,19,15,18,157,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Thursday October 08 1998,16:25-17:25,63,159,82,47,313,71,89,174,38,79,699,101,34,20,8,19,13,6,13,90,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday October 23 2001,07:00-09:00,188,323,72,79,968,153,74,218,99,100,498,84,21,17,27,21,115,45,60,11,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday October 23 2001,07:55-08:55,125,200,39,52,531,101,42,147,60,64,317,57,17,10,22,12,74,22,31,5,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday October 23 2001,15:30-17:30,141,245,137,117,660,138,152,296,110,129,1197,181,73,40,32,22,15,19,19,164,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday October 23 2001,16:25-17:25,72,132,79,54,328,77,66,150,49,68,633,84,48,25,17,12,9,11,11,97,49.2639242035281,-123.215211467428,CLOUDY 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday September 24 1996,07:00-09:00,229,276,76,101,1030,115,65,209,128,69,432,65,42,38,14,34,132,85,99,21,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday September 24 1996,07:55-08:55,143,171,56,83,678,78,39,136,90,55,288,46,24,19,12,22,91,61,71,8,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday September 24 1996,15:30-17:30,102,265,137,114,730,109,136,293,113,144,1263,195,80,31,15,39,34,54,33,237,49.2639242035281,-123.215211467428,CLEAR 
