Int_no,Intersection,idDemande,Date,Heure,ND,NTD,NG,ED,ETD,EG,SD,STD,SG,OD,OTD,OG,Piet_N,Piet_E,Piet_S,Piet_O,Cy_N,Cy_E,Cy_S,Cy_O,Lat,Lon,Temps
vancouver/020670,BLANCA AND 10TH,020670,Tuesday September 24 1996,16:05-17:05,53,148,62,59,370,49,72,135,62,71,685,107,35,14,8,18,17,28,15,136,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday September 27 2005,07:00-09:00,205,322,77,93,752,178,77,261,176,93,444,72,30,28,25,32,147,17,43,14,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday September 27 2005,07:55-08:55,111,213,43,61,409,104,49,162,117,59,276,48,21,17,15,17,86,11,34,7,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday September 27 2005,15:30-17:30,94,265,131,92,576,174,143,327,140,154,1009,157,42,44,52,22,16,26,34,211,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020670,BLANCA AND 10TH,020670,Tuesday September 27 2005,16:25-17:25,46,136,61,42,288,97,74,187,67,84,496,66,23,26,30,10,7,13,17,131,49.2639242035281,-123.215211467428,CLEAR 
vancouver/020690,BLANCA AND 16TH,020690,Friday December 01 2000,07:00-09:00,273,0,257,244,1205,2,,,,,348,87,3,,4,,25,52,,3,49.2583876941919,-123.215411833435,clear 
vancouver/020690,BLANCA AND 16TH,020690,Friday December 01 2000,07:55-08:55,178,0,196,168,837,2,,,,,215,58,1,,0,,14,36,,2,49.2583876941919,-123.215411833435,clear 
vancouver/020690,BLANCA AND 16TH,020690,Friday December 01 2000,15:30-17:30,146,0,306,251,514,,,,,,1402,222,18,2,2,4,4,7,,47,49.2583876941919,-123.215411833435,clear 
vancouver/020690,BLANCA AND 16TH,020690,Friday December 01 2000,15:35-16:35,72,0,148,125,265,,,,,,718,125,9,1,2,2,2,3,,20,49.2583876941919,-123.215411833435,clear 
vancouver/020690,BLANCA AND 16TH,020690,Friday October 09 1998,07:00-09:00,221,,253,243,1416,,,0,,,349,97,7,5,5,4,28,77,,5,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Friday October 09 1998,07:55-08:55,138,,184,171,995,,,0,,,226,57,3,4,3,1,15,57,,3,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Friday October 09 1998,15:30-17:30,134,,334,262,547,,,0,,,1327,172,7,11,18,1,13,16,,109,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Friday October 09 1998,15:55-16:55,66,,163,120,297,,,0,,,693,94,3,9,12,1,4,10,,51,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 22 2001,07:00-09:00,377,,315,206,1639,2,,,,,377,114,9,7,1,5,55,119,,20,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 22 2001,07:55-08:55,229,,187,119,917,2,,,,,212,62,1,3,0,2,27,59,,14,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 22 2001,15:30-17:30,165,,297,258,632,3,,,,,1320,239,18,2,,2,11,10,,90,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 22 2001,16:05-17:05,78,,159,115,327,2,,,,,722,131,8,0,,2,2,3,,46,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 28 1996,07:00-09:00,220,,196,206,1441,,,,,,319,55,6,3,6,2,25,98,,2,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 28 1996,07:55-08:55,142,,138,145,999,,,,,,199,27,6,2,6,2,18,64,,0,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 28 1996,15:30-17:30,122,,274,283,544,,,,,,1425,172,13,1,11,3,4,10,,72,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 28 1996,16:05-17:05,62,,135,141,272,,,,,,758,95,7,1,9,0,1,5,,32,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 29 2007,07:00-09:00,173,,255,197,922,,,,,,317,79,8,7,2,3,6,70,,4,49.2583876941919,-123.215411833435,CLEAR 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 29 2007,07:40-08:40,98,,153,124,555,,,,,,189,48,4,7,2,1,3,37,,2,49.2583876941919,-123.215411833435,CLEAR 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 29 2007,15:30-17:30,165,,400,320,572,,,,,,816,168,6,6,6,6,13,8,,40,49.2583876941919,-123.215411833435,CLEAR 
vancouver/020690,BLANCA AND 16TH,020690,Monday October 29 2007,15:35-16:35,94,,203,176,326,,,,,,418,102,2,4,4,5,9,4,,24,49.2583876941919,-123.215411833435,CLEAR 
vancouver/020690,BLANCA AND 16TH,020690,Tuesday January 14 2003,07:00-09:00,330,,273,251,1218,,,,,,351,106,6,6,7,9,22,93,,7,49.2583876941919,-123.215411833435,CLOUDY 
vancouver/020690,BLANCA AND 16TH,020690,Tuesday January 14 2003,07:55-08:55,178,,161,159,715,,,,,,224,72,2,0,3,1,14,57,,0,49.2583876941919,-123.215411833435,CLOUDY 
vancouver/020690,BLANCA AND 16TH,020690,Tuesday January 14 2003,15:30-17:30,208,,349,281,606,,,,,,1603,280,18,3,3,4,11,14,1,63,49.2583876941919,-123.215411833435,CLOUDY 
vancouver/020690,BLANCA AND 16TH,020690,Tuesday January 14 2003,16:25-17:25,98,,166,131,274,,,,,,911,154,10,1,1,3,3,7,0,31,49.2583876941919,-123.215411833435,CLOUDY 
vancouver/020690,BLANCA AND 16TH,020690,Wednesday October 19 2005,07:00-09:00,267,,197,264,1004,,,,,,360,137,6,4,3,,19,70,,2,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Wednesday October 19 2005,07:55-08:55,160,,114,157,618,,,,,,223,83,3,4,2,,13,40,,0,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Wednesday October 19 2005,15:30-17:30,204,,358,243,537,,,,,,1111,267,4,11,15,1,14,3,,49,49.2583876941919,-123.215411833435,RAIN 
vancouver/020690,BLANCA AND 16TH,020690,Wednesday October 19 2005,16:10-17:10,110,,193,110,255,,,,,,625,145,2,6,13,0,7,2,,26,49.2583876941919,-123.215411833435,RAIN 
vancouver/024670,SASAMAT AND 10TH,024670,Wednesday March 01 2006,07:00-09:00,31,44,24,46,1015,40,70,28,22,24,599,20,68,64,62,91,1,6,14,2,49.2638291692667,-123.209099613843,CLEAR 
vancouver/024670,SASAMAT AND 10TH,024670,Wednesday March 01 2006,07:55-08:55,23,29,18,28,591,28,43,17,16,18,394,14,44,49,40,65,1,5,9,1,49.2638291692667,-123.209099613843,CLEAR 
vancouver/024670,SASAMAT AND 10TH,024670,Wednesday March 01 2006,15:30-17:30,35,64,69,84,865,96,105,71,41,66,1121,46,289,306,455,372,,2,7,19,49.2638291692667,-123.209099613843,CLEAR 
vancouver/024670,SASAMAT AND 10TH,024670,Wednesday March 01 2006,16:15-17:15,16,30,23,43,408,55,64,31,22,35,593,17,135,156,255,205,,1,6,13,49.2638291692667,-123.209099613843,CLEAR 
vancouver/026640,TRIMBLE AND 4TH,026640,Wednesday September 07 2005,07:00-09:00,12,20,8,10,1668,49,59,,,11,599,9,6,,5,39,1,12,2,11,49.2689629909974,-123.205873079508,CLEAR 
vancouver/026640,TRIMBLE AND 4TH,026640,Wednesday September 07 2005,07:55-08:55,8,13,4,7,918,33,31,,,8,373,6,5,,4,31,0,6,1,5,49.2689629909974,-123.205873079508,CLEAR 
vancouver/026640,TRIMBLE AND 4TH,026640,Wednesday September 07 2005,15:30-17:30,16,17,9,16,791,45,61,2,,17,1688,16,6,,10,55,4,10,9,13,49.2689629909974,-123.205873079508,CLEAR 
vancouver/026640,TRIMBLE AND 4TH,026640,Wednesday September 07 2005,16:25-17:25,8,9,4,8,404,24,28,1,,8,878,9,4,,1,21,3,3,7,6,49.2689629909974,-123.205873079508,CLEAR 
vancouver/027670,DISCOVERY AND 10TH,027670,Thursday March 02 2006,07:00-09:00,39,31,13,85,1115,49,83,67,30,13,670,34,15,34,21,54,3,1,7,2,49.2637333673633,-123.203022261741,RAIN 
vancouver/027670,DISCOVERY AND 10TH,027670,Thursday March 02 2006,07:55-08:55,31,24,9,66,646,32,54,50,16,5,423,24,8,29,16,38,2,1,4,1,49.2637333673633,-123.203022261741,RAIN 
vancouver/027670,DISCOVERY AND 10TH,027670,Thursday March 02 2006,15:30-17:30,37,40,24,40,990,87,65,51,49,51,1210,33,42,62,69,129,1,3,2,9,49.2637333673633,-123.203022261741,RAIN 
vancouver/027670,DISCOVERY AND 10TH,027670,Thursday March 02 2006,15:35-16:35,19,19,12,24,498,40,40,33,30,19,636,19,18,33,42,77,0,1,1,2,49.2637333673633,-123.203022261741,RAIN 
vancouver/030640,NW MARINE DRIVE AND W 4TH AV,030640,Thursday November 22 2007,07:00-09:00,9,,149,208,1487,,,,,,887,23,3,,,10,2,6,,,49.268855855787,-123.199467652982,RAIN 
vancouver/030640,NW MARINE DRIVE AND W 4TH AV,030640,Thursday November 22 2007,07:55-08:55,6,,98,134,838,,,,,,492,13,2,,,6,2,3,,,49.268855855787,-123.199467652982,RAIN 
vancouver/030640,NW MARINE DRIVE AND W 4TH AV,030640,Thursday November 22 2007,15:30-17:30,12,,482,367,936,,,,,,2035,40,1,1,3,29,4,9,,13,49.268855855787,-123.199467652982,RAIN 
vancouver/030640,NW MARINE DRIVE AND W 4TH AV,030640,Thursday November 22 2007,16:20-17:20,1,,260,181,432,,,,,,1089,27,0,0,1,19,2,5,,7,49.268855855787,-123.199467652982,RAIN 
vancouver/033830,HOLLAND ST AND SW MARINE DRIVE,033830,Wednesday February 23 2005,08:00-10:00,,,,,1682,,,,,,673,,,,,,,,,2,49.2332035882093,-123.192360061686,CLEAR 
vancouver/033830,HOLLAND ST AND SW MARINE DRIVE,033830,Wednesday February 23 2005,08:10-09:10,,,,,878,,,,,,357,,,,,,,,,1,49.2332035882093,-123.192360061686,CLEAR 
vancouver/033830,HOLLAND ST AND SW MARINE DRIVE,033830,Wednesday February 23 2005,11:00-13:00,,,,,1043,,,,,1,814,,,,,,,,,,49.2332035882093,-123.192360061686,CLEAR 
vancouver/033830,HOLLAND ST AND SW MARINE DRIVE,033830,Wednesday February 23 2005,11:35-12:35,,,,,543,,,,,1,464,,,,,,,,,,49.2332035882093,-123.192360061686,CLEAR 
vancouver/033830,HOLLAND ST AND SW MARINE DRIVE,033830,Wednesday February 23 2005,15:00-17:00,,,,,830,,,,,,1419,,,,,,,,,,49.2332035882093,-123.192360061686,CLEAR 
vancouver/033830,HOLLAND ST AND SW MARINE DRIVE,033830,Wednesday February 23 2005,15:55-16:55,,,,,405,,,,,,718,,,,,,,,,,49.2332035882093,-123.192360061686,CLEAR 
vancouver/040630,ALMA AND POINT GREY,040630,Friday October 04 1996,07:00-09:00,1,5,7,2,38,934,756,4,25,23,42,0,12,2,1,5,,18,8,8,49.2722682187729,-123.185566322964,RAIN 
vancouver/040630,ALMA AND POINT GREY,040630,Friday October 04 1996,07:40-08:40,1,3,3,1,25,596,431,0,9,13,27,0,5,2,0,4,,11,6,7,49.2722682187729,-123.185566322964,RAIN 
vancouver/040630,ALMA AND POINT GREY,040630,Friday October 04 1996,15:30-17:30,3,7,10,7,141,836,829,7,57,64,107,6,44,8,13,11,2,21,9,19,49.2722682187729,-123.185566322964,RAIN 
vancouver/040630,ALMA AND POINT GREY,040630,Friday October 04 1996,16:25-17:25,2,5,4,3,74,453,421,2,31,32,54,2,28,8,9,9,0,14,3,9,49.2722682187729,-123.185566322964,RAIN 
vancouver/040630,ALMA AND POINT GREY,040630,Monday January 28 2008,07:00-09:00,,18,,7,44,1172,938,5,24,15,47,,8,,5,9,,2,3,4,49.2722682187729,-123.185566322964,CLEAR 
vancouver/040630,ALMA AND POINT GREY,040630,Monday January 28 2008,07:55-08:55,,13,,3,34,655,490,3,14,10,32,,3,,3,5,,2,2,1,49.2722682187729,-123.185566322964,CLEAR 
vancouver/040630,ALMA AND POINT GREY,040630,Monday January 28 2008,15:30-17:30,,33,1,9,30,1366,963,3,16,7,28,,10,,3,22,,2,9,2,49.2722682187729,-123.185566322964,CLEAR 
vancouver/040630,ALMA AND POINT GREY,040630,Monday January 28 2008,15:50-16:50,,17,0,4,14,714,526,2,9,3,11,,6,,2,8,,0,4,1,49.2722682187729,-123.185566322964,CLEAR 
vancouver/040630,ALMA AND POINT GREY,040630,Thursday January 19 2006,07:00-09:00,,2,1,2,40,860,647,1,12,15,53,,16,,5,2,,8,1,6,49.2722682187729,-123.185566322964,CLOUDY 
vancouver/040630,ALMA AND POINT GREY,040630,Thursday January 19 2006,07:55-08:55,,2,1,0,28,530,385,1,8,10,36,,8,,4,0,,6,0,2,49.2722682187729,-123.185566322964,CLOUDY 
vancouver/040630,ALMA AND POINT GREY,040630,Thursday January 19 2006,15:30-17:30,2,8,2,11,108,830,857,5,40,67,121,,42,,9,35,1,15,4,11,49.2722682187729,-123.185566322964,CLOUDY 
vancouver/040630,ALMA AND POINT GREY,040630,Thursday January 19 2006,16:05-17:05,1,5,2,6,56,449,452,2,22,42,73,,20,,6,16,0,6,1,4,49.2722682187729,-123.185566322964,CLOUDY 
vancouver/040630,ALMA AND POINT GREY,040630,Tuesday January 27 2004,07:00-09:00,,5,3,,21,862,814,2,15,21,47,2,1,3,15,19,,10,6,7,49.2722682187729,-123.185566322964,RAIN 
vancouver/040630,ALMA AND POINT GREY,040630,Tuesday January 27 2004,07:55-08:55,,2,2,,13,533,492,1,9,12,24,1,1,1,7,11,,5,4,3,49.2722682187729,-123.185566322964,RAIN 
vancouver/040630,ALMA AND POINT GREY,040630,Tuesday January 27 2004,15:30-17:30,1,3,0,9,39,564,887,5,30,45,116,4,2,6,24,31,,3,2,5,49.2722682187729,-123.185566322964,RAIN 
vancouver/040630,ALMA AND POINT GREY,040630,Tuesday January 27 2004,16:15-17:15,0,2,0,6,18,302,476,5,23,16,63,3,2,5,13,22,,1,1,3,49.2722682187729,-123.185566322964,RAIN 
vancouver/040630,ALMA AND POINT GREY,040630,Wednesday July 30 2003,07:00-09:00,4,9,7,4,66,650,702,9,18,27,62,5,29,3,9,21,2,26,16,14,49.2722682187729,-123.185566322964,CLEAR 
vancouver/040630,ALMA AND POINT GREY,040630,Wednesday July 30 2003,07:55-08:55,2,8,5,2,45,407,410,5,12,16,37,1,16,3,3,12,1,15,5,9,49.2722682187729,-123.185566322964,CLEAR 
vancouver/040630,ALMA AND POINT GREY,040630,Wednesday July 30 2003,11:00-13:00,9,17,6,21,184,739,549,9,66,77,96,3,33,4,19,24,1,46,6,19,49.2722682187729,-123.185566322964,CLEAR 
vancouver/040630,ALMA AND POINT GREY,040630,Wednesday July 30 2003,11:55-12:55,3,6,3,13,89,414,299,4,49,46,50,2,17,1,14,14,1,21,5,14,49.2722682187729,-123.185566322964,CLEAR 
vancouver/040630,ALMA AND POINT GREY,040630,Wednesday July 30 2003,15:30-17:30,1,14,4,7,258,756,707,11,134,116,168,5,82,4,23,55,3,67,23,50,49.2722682187729,-123.185566322964,CLEAR 
vancouver/040630,ALMA AND POINT GREY,040630,Wednesday July 30 2003,16:20-17:20,1,8,2,4,139,415,355,6,85,59,75,3,43,2,4,34,3,38,17,27,49.2722682187729,-123.185566322964,CLEAR 
vancouver/040640,ALMA AND 04TH,040640,Friday January 14 2005,07:00-09:00,543,360,35,34,895,178,212,577,215,105,751,266,38,52,51,69,2,6,2,10,49.268623026731,-123.185702495007,CLEAR 
vancouver/040640,ALMA AND 04TH,040640,Friday January 14 2005,07:55-08:55,297,228,24,18,521,103,123,338,136,68,518,145,27,23,33,46,1,5,0,5,49.268623026731,-123.185702495007,CLEAR 
vancouver/040640,ALMA AND 04TH,040640,Friday January 14 2005,15:30-16:30,106,256,26,25,261,121,106,223,118,120,763,240,45,39,69,16,2,2,1,2,49.268623026731,-123.185702495007,CLEAR 
vancouver/040640,ALMA AND 04TH,040640,Friday January 14 2005,15:30-17:30,260,535,56,61,527,267,248,420,198,203,1371,432,74,94,154,66,6,2,2,6,49.268623026731,-123.185702495007,CLEAR 
vancouver/040640,ALMA AND 04TH,040640,Friday November 02 2007,07:00-09:00,437,384,32,26,1001,119,172,424,55,21,652,226,47,41,34,63,6,2,2,,49.268623026731,-123.185702495007,RAIN 
vancouver/040640,ALMA AND 04TH,040640,Friday November 02 2007,07:50-08:50,240,230,17,13,576,68,88,229,22,9,387,141,27,21,11,31,2,1,0,,49.268623026731,-123.185702495007,RAIN 
vancouver/040640,ALMA AND 04TH,040640,Friday November 02 2007,15:30-17:30,374,677,62,83,1000,274,237,680,270,252,1830,382,95,84,119,248,2,8,3,15,49.268623026731,-123.185702495007,RAIN 
vancouver/040640,ALMA AND 04TH,040640,Friday November 02 2007,15:55-16:55,176,326,42,56,469,155,134,358,146,138,1007,187,67,43,78,140,2,5,0,9,49.268623026731,-123.185702495007,RAIN 
vancouver/040640,ALMA AND 04TH,040640,Monday September 09 2002,07:00-09:00,857,380,40,18,1305,215,239,514,205,118,764,285,60,86,75,61,24,2,12,4,49.268623026731,-123.185702495007,RAIN 
vancouver/040640,ALMA AND 04TH,040640,Monday September 09 2002,07:55-08:55,469,249,26,11,793,125,162,295,125,77,483,157,40,60,44,40,13,1,7,1,49.268623026731,-123.185702495007,RAIN 
vancouver/040640,ALMA AND 04TH,040640,Monday September 09 2002,15:30-17:30,403,522,41,71,707,274,344,495,246,270,1647,595,89,159,210,184,17,14,35,24,49.268623026731,-123.185702495007,RAIN 
